ts_code,name,up_limit_times
000626.SZ,远大控股,12
002712.SZ,思美传媒,12
002177.SZ,御银股份,12
603429.SH,集友股份,12
600981.SH,汇鸿集团,12
603300.SH,海南华铁,12
601011.SH,宝泰隆,12
603002.SH,宏昌电子,12
603956.SH,威派格,12
603985.SH,恒润股份,12
000801.SZ,四川九洲,12
600506.SH,统一股份,12
002016.SZ,世荣兆业,12
000421.SZ,南京公用,12
603949.SH,雪龙集团,12
603016.SH,新宏泰,12
002410.SZ,广联达,11
002689.SZ,远大智能,11
002766.SZ,索菱股份,11
603677.SH,奇精机械,11
002423.SZ,中粮资本,11
002196.SZ,方正电机,11
603580.SH,艾艾精工,11
600719.SH,大连热电,11
300085.SZ,银之杰,11
002279.SZ,久其软件,11
601789.SH,宁波建工,11
002400.SZ,省广集团,11
002105.SZ,信隆健康,11
002291.SZ,遥望科技,11
002979.SZ,雷赛智能,11
002981.SZ,朝阳科技,11
001267.SZ,汇绿生态,11
603662.SH,柯力传感,11
002779.SZ,中坚科技,11
002786.SZ,银宝山新,11
002881.SZ,美格智能,11
603063.SH,禾望电气,11
600800.SH,渤海化学,11
001239.SZ,永达股份,11
002248.SZ,华东数控,11
003029.SZ,吉大正元,11
002383.SZ,合众思壮,11
002820.SZ,桂发祥,11
603536.SH,惠发食品,11
600936.SH,广西广电,11
002526.SZ,山东矿机,11
002806.SZ,华锋股份,11
002335.SZ,科华数据,11
601777.SH,千里科技,11
600770.SH,综艺股份,11
002213.SZ,大为股份,11
600753.SH,庚星股份,11
002164.SZ,宁波东力,11
002387.SZ,维信诺,11
600182.SH,S佳通,11
600326.SH,西藏天路,11
000010.SZ,美丽生态,11
600644.SH,乐山电力,11
600337.SH,美克家居,11
603773.SH,沃格光电,11
603990.SH,麦迪科技,11
000677.SZ,恒天海龙,11
603883.SH,老百姓,11
000681.SZ,视觉中国,11
603214.SH,爱婴室,11
600629.SH,华建集团,11
600481.SH,双良节能,11
600156.SH,华升股份,11
000695.SZ,滨海能源,11
600120.SH,浙江东方,11
000504.SZ,南华生物,11
600107.SH,美尔雅,11
600105.SH,永鼎股份,11
600327.SH,大东方,11
600439.SH,瑞贝卡,11
603789.SH,星光农机,11
600250.SH,南京商旅,11
603118.SH,共进股份,11
000815.SZ,美利云,11
600527.SH,江南高纤,11
000558.SZ,天府文旅,11
000795.SZ,英洛华,11
600255.SH,鑫科材料,11
000810.SZ,创维数字,11
605033.SH,美邦股份,11
000826.SZ,启迪环境,11
002889.SZ,东方嘉盛,10
603039.SH,泛微网络,10
002037.SZ,保利联合,10
603286.SH,日盈电子,10
603315.SH,福鞍股份,10
002575.SZ,群兴玩具,10
603004.SH,鼎龙科技,10
002580.SZ,圣阳股份,10
600101.SH,明星电力,10
600463.SH,空港股份,10
002915.SZ,中欣氟材,10
603583.SH,捷昌驱动,10
002912.SZ,中新赛克,10
